


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
               405    0.4753417969     2.7614282879
               406    0.4752807617     2.7614310933
               407    0.4752197266     2.7614339009
               408    0.4751586914     2.7614367106
               409    0.4750976562     2.7614395225
               410    0.4750366211     2.7614423365
               411    0.4749755859     2.7614451528
               412    0.4749145508     2.7614479712
               413    0.4748535156     2.7614507917
               414    0.4747924805     2.7614536144
               415    0.4747314453     2.7614564393
               416    0.4746704102     2.7614592664
               417    0.4746093750     2.7614620956
               418    0.4745483398     2.7614649270
               419    0.4744873047     2.7614677606
               420    0.4744262695     2.7614705964
               421    0.4743652344     2.7614734344
               422    0.4743041992     2.7614762745
               423    0.4742431641     2.7614791168
               424    0.4741821289     2.7614819613
               425    0.4741210938     2.7614848080
               426    0.4740600586     2.7614876569
               427    0.4739990234     2.7614905080
               428    0.4739379883     2.7614933613
               429    0.4738769531     2.7614962167
               430    0.4738159180     2.7614990744
               431    0.4737548828     2.7615019342
               432    0.4736938477     2.7615047963
               433    0.4736328125     2.7615076606
               434    0.4735717773     2.7615105271
               435    0.4735107422     2.7615133957
               436    0.4734497070     2.7615162666
               437    0.4733886719     2.7615191397
               438    0.4733276367     2.7615220150
               439    0.4732666016     2.7615248925
               440    0.4732055664     2.7615277722
               441    0.4731445312     2.7615306541
               442    0.4730834961     2.7615335383
               443    0.4730224609     2.7615364247
               444    0.4729614258     2.7615393133
               445    0.4729003906     2.7615422041
               446    0.4728393555     2.7615450971
               447    0.4727783203     2.7615479924
               448    0.4727172852     2.7615508899
               449    0.4726562500     2.7615537896
               450    0.4725952148     2.7615566916
               451    0.4725341797     2.7615595957
               452    0.4724731445     2.7615625022
               453    0.4724121094     2.7615654108
               454    0.4723510742     2.7615683217
               455    0.4722900391     2.7615712348
               456    0.4722290039     2.7615741502
               457    0.4721679688     2.7615770678
               458    0.4721069336     2.7615799877
               459    0.4720458984     2.7615829098
               460    0.4719848633     2.7615858342
               461    0.4719238281     2.7615887608
               462    0.4718627930     2.7615916897
               463    0.4718017578     2.7615946208
               464    0.4717407227     2.7615975541
               465    0.4716796875     2.7616004898
               466    0.4716186523     2.7616034276
               467    0.4715576172     2.7616063678
               468    0.4714965820     2.7616093102
               469    0.4714355469     2.7616122549
               470    0.4713745117     2.7616152018
               471    0.4713134766     2.7616181510
               472    0.4712524414     2.7616211025
