


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
                88    0.4150390625     2.3136515815
                89    0.4140625000     2.3137971010
                90    0.4130859375     2.3139434383
                91    0.4121093750     2.3140905988
                92    0.4111328125     2.3142385879
                93    0.4101562500     2.3143874113
                94    0.4091796875     2.3145370745
                95    0.4082031250     2.3146875834
                96    0.4072265625     2.3148389437
                97    0.4062500000     2.3149911612
                98    0.4052734375     2.3151442420
                99    0.4042968750     2.3152981920
               100    0.4033203125     2.3154530173
               101    0.4023437500     2.3156087242
               102    0.4013671875     2.3157653189
               103    0.4003906250     2.3159228078
               104    0.3994140625     2.3160811972
               105    0.3984375000     2.3162404938
               106    0.3974609375     2.3164007042
               107    0.3964843750     2.3165618350
               108    0.3955078125     2.3167238932
               109    0.3945312500     2.3168868855
               110    0.3935546875     2.3170508190
               111    0.3925781250     2.3172157009
               112    0.3916015625     2.3173815383
               113    0.3906250000     2.3175483386
               114    0.3896484375     2.3177161091
               115    0.3886718750     2.3178848574
               116    0.3876953125     2.3180545913
               117    0.3867187500     2.3182253183
               118    0.3857421875     2.3183970465
               119    0.3847656250     2.3185697838
               120    0.3837890625     2.3187435383
               121    0.3828125000     2.3189183183
               122    0.3818359375     2.3190941322
               123    0.3808593750     2.3192709885
               124    0.3798828125     2.3194488958
               125    0.3789062500     2.3196278629
               126    0.3779296875     2.3198078987
               127    0.3769531250     2.3199890124
               128    0.3759765625     2.3201712130
               129    0.3750000000     2.3203545099
               130    0.3740234375     2.3205389127
               131    0.3730468750     2.3207244310
               132    0.3720703125     2.3209110746
               133    0.3710937500     2.3210988535
               134    0.3701171875     2.3212877779
               135    0.3691406250     2.3214778580
               136    0.3681640625     2.3216691044
               137    0.3671875000     2.3218615277
               138    0.3662109375     2.3220551388
               139    0.3652343750     2.3222499487
               140    0.3642578125     2.3224459685
               141    0.3632812500     2.3226432097
               142    0.3623046875     2.3228416840
               143    0.3613281250     2.3230414031
               144    0.3603515625     2.3232423789
               145    0.3593750000     2.3234446238
               146    0.3583984375     2.3236481501
               147    0.3574218750     2.3238529706
               148    0.3564453125     2.3240590980
               149    0.3554687500     2.3242665454
               150    0.3544921875     2.3244753263
               151    0.3535156250     2.3246854541
               152    0.3525390625     2.3248969426
               153    0.3515625000     2.3251098060
               154    0.3505859375     2.3253240585
               155    0.3496093750     2.3255397147
               156    0.3486328125     2.3257567894
               157    0.3476562500     2.3259752977
               158    0.3466796875     2.3261952550
               159    0.3457031250     2.3264166770
               160    0.3447265625     2.3266395795
               161    0.3437500000     2.3268639789
               162    0.3427734375     2.3270898916
               163    0.3417968750     2.3273173346
               164    0.3408203125     2.3275463250
               165    0.3398437500     2.3277768802
               166    0.3388671875     2.3280090180
               167    0.3378906250     2.3282427567
               168    0.3369140625     2.3284781146
               169    0.3359375000     2.3287151106
               170    0.3349609375     2.3289537640
               171    0.3339843750     2.3291940941
               172    0.3330078125     2.3294361211
               173    0.3320312500     2.3296798651
               174    0.3310546875     2.3299253468
               175    0.3300781250     2.3301725874
               176    0.3291015625     2.3304216084
               177    0.3281250000     2.3306724315
               178    0.3271484375     2.3309250793
               179    0.3261718750     2.3311795743
               180    0.3251953125     2.3314359399
               181    0.3242187500     2.3316941996
               182    0.3232421875     2.3319543777
               183    0.3222656250     2.3322164986
               184    0.3212890625     2.3324805874
               185    0.3203125000     2.3327466698
               186    0.3193359375     2.3330147717
               187    0.3183593750     2.3332849197
               188    0.3173828125     2.3335571409
               189    0.3164062500     2.3338314630
               190    0.3154296875     2.3341079142
               191    0.3144531250     2.3343865231
               192    0.3134765625     2.3346673191
               193    0.3125000000     2.3349503321
               194    0.3115234375     2.3352355925
               195    0.3105468750     2.3355231316
               196    0.3095703125     2.3358129809
               197    0.3085937500     2.3361051729
               198    0.3076171875     2.3363997406
               199    0.3066406250     2.3366967176
               200    0.3056640625     2.3369961384
               201    0.3046875000     2.3372980380
               202    0.3037109375     2.3376024521
               203    0.3027343750     2.3379094173
               204    0.3017578125     2.3382189707
               205    0.3007812500     2.3385311504
               206    0.2998046875     2.3388459952
               207    0.2988281250     2.3391635445
               208    0.2978515625     2.3394838388
               209    0.2968750000     2.3398069193
               210    0.2958984375     2.3401328280
               211    0.2949218750     2.3404616078
               212    0.2939453125     2.3407933026
               213    0.2929687500     2.3411279569
               214    0.2919921875     2.3414656166
               215    0.2910156250     2.3418063280
               216    0.2900390625     2.3421501388
               217    0.2890625000     2.3424970974
               218    0.2880859375     2.3428472534
               219    0.2871093750     2.3432006574
               220    0.2861328125     2.3435573610
               221    0.2851562500     2.3439174169
               222    0.2841796875     2.3442808788
               223    0.2832031250     2.3446478018
               224    0.2822265625     2.3450182419
               225    0.2812500000     2.3453922563
               226    0.2802734375     2.3457699036
               227    0.2792968750     2.3461512434
               228    0.2783203125     2.3465363367
               229    0.2773437500     2.3469252457
               230    0.2763671875     2.3473180341
               231    0.2753906250     2.3477147668
               232    0.2744140625     2.3481155101
               233    0.2734375000     2.3485203316
               234    0.2724609375     2.3489293007
               235    0.2714843750     2.3493424878
               236    0.2705078125     2.3497599652
               237    0.2695312500     2.3501818066
               238    0.2685546875     2.3506080872
               239    0.2675781250     2.3510388840
               240    0.2666015625     2.3514742755
               241    0.2656250000     2.3519143421
               242    0.2646484375     2.3523591655
               243    0.2636718750     2.3528088298
               244    0.2626953125     2.3532634203
               245    0.2617187500     2.3537230246
               246    0.2607421875     2.3541877320
               247    0.2597656250     2.3546576338
